Hộ kinh doanh Trường Phát,,vn1800501670,LEGAL_TYPE_OTHER,1800501670,2006-07-27T00:00:00.000+0000,VN,"168, đường 3 tháng 2",8151903,,MẠCH MỸ HẠNH,Giám đốc,Đang hoạt động,0,[]
CÔNG TY TNHH CƠ KHÍ MỎ TRỊNH CHÂU,"TRINH CHAU MINING MECHANICAL CO .,LTD",vn5701906377,LLC2,5701906377,2017-11-16T00:00:00.000+0000,VN,"Tổ 5, Khu Hoà Lạc",2250331,,NGUYỄN ĐÌNH DÂN ,Giám đốc,Đang hoạt động,0,"[['2211', 'Sản xuất săm, lốp cao su; đắp và tái chế lốp cao su', 0], ['2212', 'Sản xuất sản phẩm khác từ cao su', 0], ['2592', 'Gia công cơ khí; xử lý và tráng phủ kim loại', 0], ['5022', 'Vận tải hàng hóa đường thuỷ nội địa', 0], ['5224', 'Bốc xếp hàng hóa', 0], ['5510', 'Dịch vụ lưu trú ngắn ngày', 0], ['4662', 'Bán buôn kim loại và quặng kim loại', 0], ['4663', 'Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng', 0], ['4669', 'Bán buôn chuyên doanh khác chưa được phân vào đâu', 0], ['4690', 'Bán buôn tổng hợp', 0], ['4730', 'Bán lẻ nhiên liệu động cơ trong các cửa hàng chuyên doanh', 0], ['4752', 'Bán lẻ đồ ngũ kim, sơn, kính và thiết bị lắp đặt khác trong xây dựng trong các cửa hàng chuyên doanh', 0], ['4759', 'Bán lẻ đồ điện gia dụng, giường, tủ, bàn, ghế và đồ nội thất tương tự, đèn và bộ đèn điện, đồ dùng gia đình khác chưa được phân vào đâu trong các cửa hàng chuyên doanh', 0], ['3100', 'Sản xuất giường, tủ, bàn, ghế', 0], ['3312', 'Sửa chữa máy móc, thiết bị', 0], ['3315', 'Sửa chữa và bảo dưỡng phương tiện vận tải (trừ ô tô, mô tô, xe máy và xe có động cơ khác)', 0], ['3319', 'Sửa chữa thiết bị khác', 0], ['3320', 'Lắp đặt máy móc và thiết bị công nghiệp', 0], ['4100', 'Xây dựng nhà các loại', 0], ['4220', 'Xây dựng công trình công ích', 0], ['4290', 'Xây dựng công trình kỹ thuật dân dụng khác', 0], ['4311', 'Phá dỡ', 0], ['4312', 'Chuẩn bị mặt bằng', 0], ['4330', 'Hoàn thiện công trình xây dựng', 0], ['4511', 'Bán buôn ô tô và xe có động cơ khác', 0], ['4520', 'Bảo dưỡng, sửa chữa ô tô và xe có động cơ khác', 0], ['4530', 'Bán phụ tùng và các bộ phận phụ trợ của ô tô và xe có động cơ khác', 0], ['4541', 'Bán mô tô, xe máy', 0], ['4649', 'Bán buôn đồ dùng khác cho gia đình', 0], ['4651', 'Bán buôn máy vi tính, thiết bị ngoại vi và phần mềm', 0], ['4652', 'Bán buôn thiết bị và linh kiện điện tử, viễn thông', 0], ['4659', 'Bán buôn máy móc, thiết bị và phụ tùng máy khác', 1], ['4932', 'Vận tải hành khách đường bộ khác', 0], ['7410', 'Hoạt động thiết kế chuyên dụng', 0], ['7710', 'Cho thuê xe có động cơ', 0], ['7730', 'Cho thuê máy móc, thiết bị và đồ dùng hữu hình khác', 0]]"
CÔNG TY CỔ PHẦN TƯ VẤN AN BÌNH ATP VIỆT NAM ,,vn0109411738,SC,0109411738,2020-11-10T00:00:00.000+0000,VN,Số 186 đường Mỹ Đình,1015513,,ĐẶNG DƯƠNG PHI   ,Giám đốc,Đang hoạt động,0,"[['4293', 'Xây dựng công trình chế biến, chế tạo', 0], ['4312', 'Chuẩn bị mặt bằng', 0], ['4321', 'Lắp đặt hệ thống điện', 0], ['4322', 'Lắp đặt hệ thống cấp, thoát nước, hệ thống sưởi và điều hoà không khí', 0], ['4212', 'Xây dựng công trình đường bộ', 0], ['4229', 'Xây dựng công trình công ích khác', 0], ['4330', 'Hoàn thiện công trình xây dựng', 0], ['4311', 'Phá dỡ', 0], ['4221', 'Xây dựng công trình điện', 0], ['7110', 'Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan', 1], ['4222', 'Xây dựng công trình cấp, thoát nước', 0], ['4102', 'Xây dựng nhà không để ở', 0], ['4329', 'Lắp đặt hệ thống xây dựng khác', 0], ['4101', 'Xây dựng nhà để ở', 0], ['4211', 'Xây dựng công trình đường sắt', 0], ['4291', 'Xây dựng công trình thủy', 0], ['4292', 'Xây dựng công trình khai khoáng', 0], ['4299', 'Xây dựng công trình kỹ thuật dân dụng khác', 0], ['4223', 'Xây dựng công trình viễn thông, thông tin liên lạc', 0], ['7490', 'Hoạt động chuyên môn, khoa học và công nghệ khác chưa được phân vào đâu', 0], ['7730', 'Cho thuê máy móc, thiết bị và đồ dùng hữu hình khác không kèm người điều khiển', 0]]"
CÔNG TY TNHH THƯƠNG MẠI HOÀNG BÌNH GIANG,HOANG BINH GIANG TRADING COMPANY LIMITED,vn0109160629,LLC1,0109160629,2020-04-21T00:00:00.000+0000,VN,Tầng 5 Số 71 Nguyễn Chí Thanh,1010937,,ĐỖ NGỌC CHÂM ,Giám đốc,Đang hoạt động,0,"[['5610', 'Nhà hàng và các dịch vụ ăn uống phục vụ lưu động', 0], ['3700', 'Thoát nước và xử lý nước thải', 0], ['4719', 'Bán lẻ khác trong các cửa hàng kinh doanh tổng hợp', 0], ['4633', 'Bán buôn đồ uống', 0], ['1076', 'Sản xuất chè', 0], ['2012', 'Sản xuất phân bón và hợp chất ni tơ', 0], ['1075', 'Sản xuất món ăn, thức ăn chế biến sẵn', 0], ['1030', 'Chế biến và bảo quản rau quả', 0], ['4659', 'Bán buôn máy móc, thiết bị và phụ tùng máy khác', 0], ['0146', 'Chăn nuôi gia cầm', 0], ['0128', 'Trồng cây gia vị, cây dược liệu, cây hương liệu lâu năm', 0], ['1080', 'Sản xuất thức ăn gia súc, gia cầm và thuỷ sản', 0], ['1020', 'Chế biến, bảo quản thuỷ sản và các sản phẩm từ thuỷ sản', 0], ['2029', 'Sản xuất sản phẩm hoá chất khác chưa được phân vào đâu', 0], ['4669', 'Bán buôn chuyên doanh khác chưa được phân vào đâu', 0], ['0322', 'Nuôi trồng thuỷ sản nội địa', 0], ['4641', 'Bán buôn vải, hàng may mặc, giày dép', 0], ['3250', 'Sản xuất thiết bị, dụng cụ y tế, nha khoa, chỉnh hình và phục hồi chức năng', 0], ['0321', 'Nuôi trồng thuỷ sản biển', 0], ['3822', 'Xử lý và tiêu huỷ rác thải độc hại', 0], ['0131', 'Nhân và chăm sóc cây giống hàng năm', 0], ['4773', 'Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh', 0], ['0161', 'Hoạt động dịch vụ trồng trọt', 0], ['1812', 'Dịch vụ liên quan đến in', 0], ['1010', 'Chế biến, bảo quản thịt và các sản phẩm từ thịt', 0], ['3900', 'Xử lý ô nhiễm và hoạt động quản lý chất thải khác', 0], ['0164', 'Xử lý hạt giống để nhân giống', 0], ['0132', 'Nhân và chăm sóc cây giống lâu năm', 0], ['8230', 'Tổ chức giới thiệu và xúc tiến thương mại', 0], ['0163', 'Hoạt động dịch vụ sau thu hoạch', 0], ['1040', 'Sản xuất dầu, mỡ động, thực vật', 0], ['0118', 'Trồng rau, đậu các loại và trồng hoa', 0], ['4772', 'Bán lẻ thuốc, dụng cụ y tế, mỹ phẩm và vật phẩm vệ sinh trong các cửa hàng chuyên doanh', 1], ['0891', 'Khai thác khoáng hoá chất và khoáng phân bón', 0], ['9000', 'Hoạt động sáng tác, nghệ thuật và giải trí', 0], ['4632', 'Bán buôn thực phẩm', 0], ['0810', 'Khai thác đá, cát, sỏi, đất sét', 0], ['4933', 'Vận tải hàng hóa bằng đường bộ', 0], ['1079', 'Sản xuất thực phẩm khác chưa được phân vào đâu', 0], ['4610', 'Đại lý, môi giới, đấu giá hàng hóa', 0], ['3821', 'Xử lý và tiêu huỷ rác thải không độc hại', 0], ['1811', 'In ấn', 0], ['3290', 'Sản xuất khác chưa được phân vào đâu', 0], ['0145', 'Chăn nuôi lợn và sản xuất giống lợn', 0], ['0312', 'Khai thác thuỷ sản nội địa', 0], ['4663', 'Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng', 0], ['0129', 'Trồng cây lâu năm khác', 0], ['0162', 'Hoạt động dịch vụ chăn nuôi', 0], ['3313', 'Sửa chữa thiết bị điện tử và quang học', 0], ['1077', 'Sản xuất cà phê', 0], ['8299', 'Hoạt động dịch vụ hỗ trợ kinh doanh khác còn lại chưa được phân vào đâu', 0], ['7110', 'Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan', 0]]"
CỬA HÀNG MINH PHƯƠNG NGUYÊN,,vn8027738293,LEGAL_TYPE_OTHER,8027738293,2009-08-27T17:00:00.000+0000,VN,"Thôn Phù Mã, Xã Phù Linh, Huyện Sóc Sơn, Thành Phố Hà Nội, Việt Nam",1011513,,NGÔ THIÊN HÀ,Chủ hộ,Đang hoạt động,0,"[['4651', 'Bán buôn máy vi tính, thiết bị ngoại vi và phần mềm', 1], ['4652', 'Bán buôn thiết bị và linh kiện điện tử, viễn thông', 0], ['4659', 'Bán buôn máy móc, thiết bị và phụ tùng máy khác', 0], ['4741', 'Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông trong các cửa hàng chuyên doanh', 0], ['4742', 'Bán lẻ thiết bị nghe nhìn trong các cửa hàng chuyên doanh', 0], ['4772', 'Bán lẻ thuốc, dụng cụ y tế, mỹ phẩm và vật phẩm vệ sinh trong các cửa hàng chuyên doanh', 0], ['9521', 'Sửa chữa thiết bị nghe nhìn điện tử gia dụng', 0], ['9522', 'Sửa chữa thiết bị, đồ dùng gia đình', 0], ['9511', 'Sửa chữa máy vi tính và thiết bị ngoại vi', 0], ['4649', 'Bán buôn đồ dùng khác cho gia đình', 0], ['4759', 'Bán lẻ đồ điện gia dụng, giường, tủ, bàn, ghế và đồ nội thất tương tự, đèn và bộ đèn điện, đồ dùng gia đình khác chưa được phân vào đâu trong các cửa hàng chuyên doanh', 0], ['7730', 'Cho thuê máy móc, thiết bị và đồ dùng hữu hình khác không kèm người điều khiển', 0], ['4610', 'Đại lý, môi giới, đấu giá hàng hóa', 0], ['5229', 'Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải', 0], ['5310', 'Bưu chính', 0], ['5320', 'Chuyển phát', 0]]"
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ ĐIỆN TỬ UY TÍN,,vn1801716076,LLC1,1801716076,2022-01-10T00:00:00.000+0000,VN,"63S3, KV 2",8151925,,VÕ CHÍ TÂM ,Giám đốc,Đang hoạt động,0,"[['3313', 'Sửa chữa thiết bị điện tử và quang học', 0], ['4329', 'Lắp đặt hệ thống xây dựng khác', 0], ['4742', 'Bán lẻ thiết bị nghe nhìn trong các cửa hàng chuyên doanh', 0], ['8219', 'Photo, chuẩn bị tài liệu và các hoạt động hỗ trợ văn phòng đặc biệt khác', 0], ['4773', 'Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh', 0], ['4649', 'Bán buôn đồ dùng khác cho gia đình', 0], ['4659', 'Bán buôn máy móc, thiết bị và phụ tùng máy khác', 1], ['1812', 'Dịch vụ liên quan đến in', 0], ['7730', 'Cho thuê máy móc, thiết bị và đồ dùng hữu hình khác không kèm người điều khiển', 0], ['3314', 'Sửa chữa thiết bị điện', 0], ['4321', 'Lắp đặt hệ thống điện', 0], ['7410', 'Hoạt động thiết kế chuyên dụng', 0], ['4651', 'Bán buôn máy vi tính, thiết bị ngoại vi và phần mềm', 0], ['4669', 'Bán buôn chuyên doanh khác chưa được phân vào đâu', 0], ['9522', 'Sửa chữa thiết bị, đồ dùng gia đình', 0], ['1811', 'In ấn', 0], ['4741', 'Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông trong các cửa hàng chuyên doanh', 0], ['3319', 'Sửa chữa thiết bị khác', 0], ['4759', 'Bán lẻ đồ điện gia dụng, giường, tủ, bàn, ghế và đồ nội thất tương tự, đèn và bộ đèn điện, đồ dùng gia đình khác chưa được phân vào đâu  trong các cửa hàng chuyên doanh', 0], ['4652', 'Bán buôn thiết bị và linh kiện điện tử, viễn thông', 0], ['4690', 'Bán buôn tổng hợp', 0], ['2817', 'Sản xuất máy móc và thiết bị văn phòng (trừ máy vi tính và thiết bị ngoại vi của máy vi tính)', 0], ['3312', 'Sửa chữa máy móc, thiết bị', 0]]"
CÔNG TY TNHH CƠ KHÍ XÂY DỰNG THƯƠNG MẠI NHÂN HIỆP PHÁT,,vn6300289425,LLC2,6300289425,2017-06-16T00:00:00.000+0000,VN,Số 724B ấp Phú Lợi,8160315,,NGUYỄN TRUNG NHÂN ,Giám đốc,Đang hoạt động,0,"[['2599', 'Sản xuất sản phẩm khác bằng kim loại chưa được phân vào đâu', 0], ['2395', 'Sản xuất bê tông và các sản phẩm từ xi măng và thạch cao', 0], ['2511', 'Sản xuất các cấu kiện kim loại', 0], ['2592', 'Gia công cơ khí; xử lý và tráng phủ kim loại', 0], ['0810', 'Khai thác đá, cát, sỏi, đất sét', 0], ['1622', 'Sản xuất đồ gỗ xây dựng', 0], ['1629', 'Sản xuất sản phẩm khác từ gỗ; sản xuất sản phẩm từ tre, nứa, rơm, rạ và vật liệu tết bện', 0], ['5022', 'Vận tải hàng hóa đường thuỷ nội địa', 0], ['4662', 'Bán buôn kim loại và quặng kim loại', 0], ['4663', 'Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng', 0], ['4669', 'Bán buôn chuyên doanh khác chưa được phân vào đâu', 0], ['3100', 'Sản xuất giường, tủ, bàn, ghế', 0], ['3320', 'Lắp đặt máy móc và thiết bị công nghiệp', 0], ['4100', 'Xây dựng nhà các loại', 0], ['4210', 'Xây dựng công trình đường sắt và đường bộ', 0], ['4220', 'Xây dựng công trình công ích', 0], ['4290', 'Xây dựng công trình kỹ thuật dân dụng khác', 0], ['4311', 'Phá dỡ', 0], ['4312', 'Chuẩn bị mặt bằng', 0], ['4321', 'Lắp đặt hệ thống điện', 0], ['4322', 'Lắp đặt hệ thống cấp, thoát nước, lò sưởi và điều hoà không khí', 0], ['4329', 'Lắp đặt hệ thống xây dựng khác', 0], ['4330', 'Hoàn thiện công trình xây dựng', 0], ['4390', 'Hoạt động xây dựng chuyên dụng khác', 0], ['4610', 'Đại lý, môi giới, đấu giá', 0], ['4649', 'Bán buôn đồ dùng khác cho gia đình', 0], ['4652', 'Bán buôn thiết bị và linh kiện điện tử, viễn thông', 0], ['4659', 'Bán buôn máy móc, thiết bị và phụ tùng máy khác', 0], ['4933', 'Vận tải hàng hóa bằng đường bộ', 0], ['7020', 'Hoạt động tư vấn quản lý', 0], ['7110', 'Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan', 1], ['7710', 'Cho thuê xe có động cơ', 0], ['7730', 'Cho thuê máy móc, thiết bị và đồ dùng hữu hình khác', 0], ['8130', 'Dịch vụ chăm sóc và duy trì cảnh quan', 0]]"
CÔNG TY TNHH CƠ KHÍ VÀ THƯƠNG MẠI PHƯỚC HƯNG,,vn3702962980,LLC1,3702962980,2021-03-22T00:00:00.000+0000,VN,"06 đường Giải Phóng, Khu phố 2",7111309,,NGUYỄN NGỌC HÙNG   ,Chủ tịch công ty kiêm giám đốc,Đang hoạt động,0,"[['4610', 'Đại lý, môi giới, đấu giá hàng hóa', 0], ['4649', 'Bán buôn đồ dùng khác cho gia đình', 0], ['4659', 'Bán buôn máy móc, thiết bị và phụ tùng máy khác', 0], ['4662', 'Bán buôn kim loại và quặng kim loại', 0], ['4663', 'Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng', 0], ['4669', 'Bán buôn chuyên doanh khác chưa được phân vào đâu', 0], ['4690', 'Bán buôn tổng hợp', 0], ['2511', 'Sản xuất các cấu kiện kim loại', 0], ['2512', 'Sản xuất thùng, bể chứa và dụng cụ chứa đựng bằng kim loại', 0], ['2591', 'Rèn, dập, ép và cán kim loại; luyện bột kim loại', 0], ['2592', 'Gia công cơ khí; xử lý và tráng phủ kim loại', 1], ['2593', 'Sản xuất dao kéo, dụng cụ cầm tay và đồ kim loại thông dụng', 0], ['2599', 'Sản xuất sản phẩm khác bằng kim loại chưa được phân vào đâu', 0], ['4759', 'Bán lẻ đồ điện gia dụng, giường, tủ, bàn, ghế và đồ nội thất tương tự, đèn và bộ đèn điện, đồ dùng gia đình khác chưa được phân vào đâu  trong các cửa hàng chuyên doanh', 0]]"
CÔNG TY CỔ PHẦN XÂY DỰNG BẢO MINH KHANG,BAO MINH KHANG CONSTRUCTION JOINT STOCK COMPANY ,vn0107297699,SC,0107297699,2016-01-14T00:00:00.000+0000,VN,"Số nhà 39, hẻm 66/35/22 đường Hồ Tùng Mậu",1011301,,NGUYỄN VĂN THẮNG ,Giám đốc,Đang hoạt động,0,"[['4322', 'Lắp đặt hệ thống cấp, thoát nước, lò sưởi và điều hoà không khí', 0], ['4329', 'Lắp đặt hệ thống xây dựng khác', 0], ['4330', 'Hoàn thiện công trình xây dựng', 0], ['4390', 'Hoạt động xây dựng chuyên dụng khác', 0], ['4610', 'Đại lý, môi giới, đấu giá', 0], ['4620', 'Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống', 0], ['4632', 'Bán buôn thực phẩm', 0], ['4633', 'Bán buôn đồ uống', 0], ['4641', 'Bán buôn vải, hàng may sẵn, giày dép', 0], ['4649', 'Bán buôn đồ dùng khác cho gia đình', 0], ['4651', 'Bán buôn máy vi tính, thiết bị ngoại vi và phần mềm', 0], ['4652', 'Bán buôn thiết bị và linh kiện điện tử, viễn thông', 0], ['4653', 'Bán buôn máy móc, thiết bị và phụ tùng máy nông nghiệp', 0], ['4659', 'Bán buôn máy móc, thiết bị và phụ tùng máy khác', 0], ['4773', 'Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh', 0], ['4791', 'Bán lẻ theo yêu cầu đặt hàng qua bưu điện hoặc internet', 0], ['4931', 'Vận tải hành khách đường bộ trong nội thành, ngoại thành (trừ vận tải bằng xe buýt)', 0], ['4932', 'Vận tải hành khách đường bộ khác', 0], ['4933', 'Vận tải hàng hóa bằng đường bộ', 0], ['8299', 'Hoạt động dịch vụ hỗ trợ kinh doanh khác còn lại chưa được phân vào đâu', 0], ['7110', 'Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan', 0], ['7410', 'Hoạt động thiết kế chuyên dụng', 0], ['7710', 'Cho thuê xe có động cơ', 0], ['7730', 'Cho thuê máy móc, thiết bị và đồ dùng hữu hình khác', 0], ['7911', 'Đại lý du lịch', 0], ['7912', 'Điều hành tua du lịch', 0], ['7920', 'Dịch vụ hỗ trợ liên quan đến quảng bá và tổ chức tua du lịch', 0], ['8121', 'Vệ sinh chung nhà cửa', 0], ['8129', 'Vệ sinh nhà cửa và các công trình khác', 0], ['8130', 'Dịch vụ chăm sóc và duy trì cảnh quan', 0], ['5510', 'Dịch vụ lưu trú ngắn ngày', 0], ['4661', 'Bán buôn nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan', 0], ['4662', 'Bán buôn kim loại và quặng kim loại', 0], ['4663', 'Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng', 0], ['4669', 'Bán buôn chuyên doanh khác chưa được phân vào đâu', 0], ['4752', 'Bán lẻ đồ ngũ kim, sơn, kính và thiết bị lắp đặt khác trong xây dựng trong các cửa hàng chuyên doanh', 0], ['4753', 'Bán lẻ thảm, đệm, chăn, màn, rèm, vật liệu phủ tường và sàn trong các cửa hàng chuyên doanh', 0], ['4759', 'Bán lẻ đồ điện gia dụng, giường, tủ, bàn, ghế và đồ nội thất tương tự, đèn và bộ đèn điện, đồ dùng gia đình khác chưa được phân vào đâu trong các cửa hàng chuyên doanh', 0], ['5610', 'Nhà hàng và các dịch vụ ăn uống phục vụ lưu động', 0], ['5630', 'Dịch vụ phục vụ đồ uống', 0], ['3312', 'Sửa chữa máy móc, thiết bị', 0], ['3320', 'Lắp đặt máy móc và thiết bị công nghiệp', 0], ['4100', 'Xây dựng nhà các loại', 1], ['4210', 'Xây dựng công trình đường sắt và đường bộ', 0], ['4220', 'Xây dựng công trình công ích', 0], ['4290', 'Xây dựng công trình kỹ thuật dân dụng khác', 0], ['4311', 'Phá dỡ', 0], ['4312', 'Chuẩn bị mặt bằng', 0], ['4321', 'Lắp đặt hệ thống điện', 0]]"
CÔNG TY CP TƯ VẤN ĐẦU TƯ XÂY DỰNG VÀ THƯƠNG MẠI VIỆT SƠN,,vn2802897437,SC,2802897437,2020-11-16T00:00:00.000+0000,VN,108 đường Vệ Đà,4010133,,ĐÀM VĂN BÌNH ,Giám đốc,Đang hoạt động,0,"[['4322', 'Lắp đặt hệ thống cấp, thoát nước, hệ thống sưởi và điều hoà không khí', 0], ['4620', 'Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống', 0], ['4663', 'Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng', 0], ['8299', 'Hoạt động dịch vụ hỗ trợ kinh doanh khác còn lại chưa được phân vào đâu', 0], ['6810', 'Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê', 0], ['7020', 'Hoạt động tư vấn quản lý', 0], ['7110', 'Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan', 1], ['2395', 'Sản xuất bê tông và các sản phẩm từ bê tông, xi măng và thạch cao', 0], ['5510', 'Dịch vụ lưu trú ngắn ngày', 0], ['5590', 'Cơ sở lưu trú khác', 0], ['7730', 'Cho thuê máy móc, thiết bị và đồ dùng hữu hình khác không kèm người điều khiển', 0], ['4101', 'Xây dựng nhà để ở', 0], ['4102', 'Xây dựng nhà không để ở', 0], ['4211', 'Xây dựng công trình đường sắt', 0], ['4212', 'Xây dựng công trình đường bộ', 0], ['4299', 'Xây dựng công trình kỹ thuật dân dụng khác', 0], ['4321', 'Lắp đặt hệ thống điện', 0]]"
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ NTS ÁNH DƯƠNG,,vn0317467185,LLC1,0317467185,2022-09-13T00:00:00.000+0000,VN,"39/17A/14 Đường số 22, Khu Phố 7",7014545,,MAI VIỆT NGA ,Giám đốc,Đang hoạt động,0,"[['5610', 'Nhà hàng và các dịch vụ ăn uống phục vụ lưu động', 0], ['4321', 'Lắp đặt hệ thống điện', 0], ['7410', 'Hoạt động thiết kế chuyên dụng', 0], ['7912', 'Điều hành tua du lịch', 0], ['4330', 'Hoàn thiện công trình xây dựng', 0], ['5621', 'Cung cấp dịch vụ ăn uống theo hợp đồng không thường xuyên với khách hàng', 0], ['4662', 'Bán buôn kim loại và quặng kim loại', 0], ['4931', 'Vận tải hành khách đường bộ trong nội thành, ngoại thành (trừ vận tải bằng xe buýt)', 0], ['4663', 'Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng', 0], ['7710', 'Cho thuê xe có động cơ', 0], ['8219', 'Photo, chuẩn bị tài liệu và các hoạt động hỗ trợ văn phòng đặc biệt khác', 0], ['1621', 'Sản xuất gỗ dán, gỗ lạng, ván ép và ván mỏng khác', 0], ['4299', 'Xây dựng công trình kỹ thuật dân dụng khác', 0], ['4759', 'Bán lẻ đồ điện gia dụng, giường, tủ, bàn, ghế và đồ nội thất tương tự, đèn và bộ đèn điện, đồ dùng gia đình khác chưa được phân vào đâu  trong các cửa hàng chuyên doanh', 0], ['4652', 'Bán buôn thiết bị và linh kiện điện tử, viễn thông', 0], ['4101', 'Xây dựng nhà để ở', 0], ['9000', 'Hoạt động sáng tác, nghệ thuật và giải trí', 0], ['4632', 'Bán buôn thực phẩm', 0], ['4933', 'Vận tải hàng hóa bằng đường bộ', 0], ['1391', 'Sản xuất vải dệt kim, vải đan móc và vải không dệt khác', 0], ['7020', 'Hoạt động tư vấn quản lý', 0], ['1079', 'Sản xuất thực phẩm khác chưa được phân vào đâu', 0], ['3320', 'Lắp đặt máy móc và thiết bị công nghiệp', 0], ['4312', 'Chuẩn bị mặt bằng', 0], ['5911', 'Hoạt động sản xuất phim điện ảnh, phim video và chương trình truyền hình', 0], ['4229', 'Xây dựng công trình công ích khác', 0], ['4610', 'Đại lý, môi giới, đấu giá hàng hóa', 0], ['1811', 'In ấn', 0], ['3290', 'Sản xuất khác chưa được phân vào đâu', 0], ['7110', 'Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan', 0], ['7990', 'Dịch vụ đặt chỗ và các dịch vụ hỗ trợ liên quan đến quảng bá và tổ chức tua du lịch', 0], ['4390', 'Hoạt động xây dựng chuyên dụng khác', 0], ['4212', 'Xây dựng công trình đường bộ', 0], ['4322', 'Lắp đặt hệ thống cấp, thoát nước, hệ thống sưởi và điều hoà không khí', 0], ['1392', 'Sản xuất hàng dệt sẵn (trừ trang phục)', 0], ['2029', 'Sản xuất sản phẩm hoá chất khác chưa được phân vào đâu', 0], ['4669', 'Bán buôn chuyên doanh khác chưa được phân vào đâu', 0], ['1520', 'Sản xuất giày, dép', 0], ['2592', 'Gia công cơ khí; xử lý và tráng phủ kim loại', 0], ['2023', 'Sản xuất mỹ phẩm, xà phòng, chất tẩy rửa, làm bóng và chế phẩm vệ sinh', 0], ['2511', 'Sản xuất các cấu kiện kim loại', 0], ['7320', 'Nghiên cứu thị trường và thăm dò dư luận', 0], ['2220', 'Sản xuất sản phẩm từ plastic', 0], ['7310', 'Quảng cáo', 0], ['5510', 'Dịch vụ lưu trú ngắn ngày', 0], ['5229', 'Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải', 0], ['6619', 'Hoạt động hỗ trợ dịch vụ tài chính chưa được phân vào đâu', 0], ['1812', 'Dịch vụ liên quan đến in', 0], ['7810', 'Hoạt động của các trung tâm, đại lý tư vấn, giới thiệu và môi giới lao động, việc làm', 0], ['1393', 'Sản xuất thảm, chăn, đệm', 0], ['4311', 'Phá dỡ', 0], ['1512', 'Sản xuất vali, túi xách và các loại tương tự, sản xuất yên đệm', 0], ['4741', 'Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông trong các cửa hàng chuyên doanh', 0], ['1430', 'Sản xuất trang phục dệt kim, đan móc', 0], ['4649', 'Bán buôn đồ dùng khác cho gia đình', 0], ['4659', 'Bán buôn máy móc, thiết bị và phụ tùng máy khác', 0], ['8230', 'Tổ chức giới thiệu và xúc tiến thương mại', 1], ['3100', 'Sản xuất giường, tủ, bàn, ghế', 0]]"
